time,ax,ay,az,atotal
1.480,-0.05,0.03,-0.02,0.07
1.490,-0.07,0.03,-0.02,0.08
1.500,-0.04,0.04,-0.05,0.08
1.510,-0.04,0.06,-0.07,0.09
1.520,-0.02,0.07,-0.08,0.11
1.530,-0.00,0.08,-0.09,0.12
1.541,0.02,0.11,-0.09,0.14
1.550,0.03,0.12,-0.10,0.16
1.561,0.03,0.11,-0.12,0.17
1.571,0.03,0.10,-0.12,0.16
1.581,0.01,0.08,-0.10,0.13
1.591,-0.01,0.07,-0.08,0.11
1.601,-0.05,0.06,-0.06,0.10
1.611,-0.07,0.03,-0.06,0.10
1.621,-0.06,0.02,-0.05,0.08
1.631,-0.05,-0.00,-0.03,0.06
1.641,-0.02,-0.01,-0.01,0.03
1.651,-0.02,-0.02,0.02,0.04
1.661,-0.02,-0.03,0.04,0.05
1.671,-0.01,-0.02,0.04,0.05
1.681,-0.02,-0.00,0.04,0.04
1.692,-0.00,0.02,0.00,0.02
1.701,-0.02,0.01,-0.01,0.03
1.712,-0.01,0.03,-0.02,0.04
1.722,0.02,0.00,-0.03,0.04
1.732,0.02,0.02,0.00,0.02
1.742,-0.00,-0.02,0.04,0.05
1.752,-0.01,-0.02,0.05,0.06
1.762,-0.04,0.01,0.05,0.06
1.772,-0.03,0.03,0.02,0.05
1.782,-0.04,0.05,-0.01,0.07
1.792,-0.04,0.08,-0.04,0.10
1.802,-0.02,0.05,-0.04,0.07
1.812,-0.02,0.02,-0.06,0.06
1.822,-0.02,0.03,-0.05,0.07
1.833,-0.03,0.03,-0.05,0.06
1.842,-0.01,0.04,-0.03,0.05
1.853,0.01,0.05,-0.03,0.06
1.862,0.01,0.05,-0.03,0.06
1.873,0.01,0.03,-0.05,0.06
1.883,0.00,0.02,-0.03,0.04
1.893,-0.01,0.04,-0.02,0.04
1.903,-0.01,0.04,0.00,0.04
1.913,-0.01,0.04,0.00,0.04
1.923,0.00,0.04,-0.01,0.04
1.933,-0.01,0.06,-0.02,0.07
1.943,-0.01,0.05,-0.04,0.06
1.953,-0.03,0.03,-0.06,0.08
1.963,-0.01,0.03,-0.09,0.10
1.973,-0.02,0.01,-0.09,0.09
1.983,-0.02,-0.02,-0.06,0.07
1.993,-0.03,-0.02,-0.03,0.05
2.004,-0.03,0.00,-0.01,0.03
2.014,0.01,0.01,-0.02,0.02
2.024,0.00,0.03,-0.02,0.03
2.034,0.01,0.04,-0.00,0.04
2.044,-0.01,0.02,-0.01,0.03
2.054,0.01,0.01,-0.04,0.04
2.064,-0.01,0.01,-0.04,0.04
2.074,-0.01,0.01,-0.05,0.05
2.084,-0.04,0.00,-0.02,0.04
