time,ax,ay,az,atotal
1.460,-0.95,0.05,1.36,1.66
1.470,-0.66,0.14,1.16,1.34
1.480,-0.40,0.05,0.99,1.07
1.490,-0.57,-0.09,0.66,0.87
1.501,-0.84,-0.27,0.20,0.91
1.510,-1.03,-0.37,-0.08,1.10
1.521,-1.23,-0.56,-0.25,1.38
1.530,-1.20,-0.79,-0.35,1.48
1.541,-0.92,-0.81,-0.51,1.33
1.551,-0.49,-0.79,-0.70,1.16
1.561,-0.17,-0.93,-0.75,1.20
1.571,0.00,-0.99,-0.71,1.22
1.581,0.06,-0.92,-0.74,1.18
1.591,0.08,-0.84,-0.75,1.12
1.602,0.03,-0.90,-0.49,1.02
1.611,0.14,-1.00,-0.17,1.02
1.621,0.29,-0.88,0.10,0.93
1.631,0.55,-0.81,0.42,1.07
1.641,1.09,-0.75,0.57,1.44
1.651,1.26,-0.49,0.49,1.44
1.662,0.73,-0.35,0.36,0.88
1.671,0.03,-0.52,0.20,0.56
1.682,-0.55,-0.73,0.02,0.91
1.692,-1.09,-0.66,0.02,1.28
1.702,-1.36,-0.70,-0.02,1.53
1.712,-1.08,-0.65,-0.46,1.34
1.722,-0.82,-0.30,-0.72,1.13
1.732,-0.90,-0.23,-0.76,1.20
1.742,-0.88,-0.43,-0.77,1.25
1.752,-0.94,-0.47,-0.85,1.35
1.762,-1.01,-0.29,-0.99,1.45
1.772,-1.02,-0.09,-1.15,1.53
1.782,-0.62,-0.02,-1.22,1.37
1.792,0.06,0.13,-1.29,1.29
1.803,0.89,0.49,-1.62,1.91
1.812,1.20,0.78,-1.92,2.39
1.823,0.99,0.68,-1.76,2.13
1.833,0.38,0.40,-1.08,1.21
1.843,-0.05,0.34,-0.30,0.45
1.853,-0.04,0.45,0.28,0.53
1.863,0.21,0.68,0.59,0.92
1.873,0.46,0.77,0.70,1.14
1.883,0.45,0.66,0.67,1.04
1.893,0.37,0.71,0.59,0.99
1.903,0.37,0.91,0.62,1.16
1.913,0.41,1.02,0.68,1.29
1.923,0.70,0.99,0.49,1.31
1.933,1.00,1.08,0.10,1.47
1.944,0.95,0.95,-0.74,1.54
1.954,0.46,0.62,-1.72,1.88
1.964,-0.22,0.44,-2.07,2.13
1.974,-0.87,0.27,-1.70,1.93
1.984,-1.32,-0.10,-1.13,1.74
1.994,-1.57,-0.37,-0.53,1.70
2.004,-1.58,-0.37,0.14,1.63
2.014,-1.24,-0.33,0.52,1.39
2.024,-0.62,-0.19,0.50,0.82
2.034,-0.33,0.27,-0.01,0.42
2.044,-0.20,0.67,-0.40,0.81
2.054,-0.07,0.72,-0.31,0.78
2.064,-0.01,0.56,0.10,0.57
2.074,0.06,0.45,0.61,0.76
2.084,0.16,0.36,1.10,1.17
2.094,0.07,0.18,1.50,1.51
2.105,0.08,-0.05,1.85,1.85
2.115,0.11,-0.23,2.22,2.24
2.125,0.27,-0.23,2.27,2.30
2.135,0.73,-0.03,1.70,1.85
2.145,1.11,0.31,1.24,1.69
2.155,1.09,0.26,1.16,1.62
2.165,0.82,-0.19,1.14,1.42
2.175,0.57,-0.75,1.11,1.45
2.185,0.11,-1.26,1.06,1.65
2.195,-0.59,-1.65,0.61,1.85
2.205,-1.31,-2.04,-1.04,2.63
2.215,-1.93,-2.03,-3.35,4.37
2.225,-1.75,-1.46,-4.46,5.01
2.236,-0.57,-0.65,-3.41,3.52
2.246,-0.20,-0.30,-2.25,2.27
2.256,0.13,-0.49,-1.38,1.47
2.266,0.35,-0.64,-0.35,0.80
2.276,0.42,-0.73,0.49,0.97
2.286,0.50,-0.73,1.08,1.40
2.296,0.60,-0.56,1.26,1.50
2.306,0.72,-0.29,1.18,1.42
2.316,0.78,0.05,0.93,1.21
2.326,0.81,0.23,0.48,0.97
2.336,0.79,0.23,0.02,0.83
2.346,0.71,0.18,-0.47,0.86
2.356,0.47,0.07,-0.98,1.09
2.366,0.05,0.14,-1.16,1.17
2.376,-0.15,0.21,-0.86,0.89
2.387,0.01,0.19,-0.31,0.36
2.397,0.28,0.27,0.08,0.40
2.409,0.45,0.15,0.15,0.50
2.417,0.44,0.03,-0.00,0.44
2.427,0.25,-0.02,-0.15,0.29
2.437,0.13,-0.05,-0.19,0.23
2.447,0.04,-0.14,-0.14,0.20
2.457,-0.04,-0.16,-0.10,0.19
2.467,-0.11,-0.08,-0.14,0.20
2.477,-0.24,-0.03,-0.03,0.24
2.487,-0.29,0.04,0.13,0.32
2.497,-0.19,0.10,0.20,0.30
2.507,-0.14,0.11,0.11,0.21
2.517,-0.16,0.08,0.08,0.19
2.528,-0.13,0.23,0.08,0.28
2.538,-0.15,0.35,0.02,0.38
2.548,0.02,0.54,-0.07,0.54
2.558,0.21,0.63,-0.08,0.67
2.568,0.39,0.60,-0.07,0.72
2.578,0.45,0.56,-0.14,0.73
2.588,0.11,0.26,-0.10,0.30
2.598,-0.04,0.05,-0.02,0.06
2.608,-0.07,0.00,-0.02,0.07
2.618,-0.02,-0.01,0.02,0.02
2.628,0.05,0.10,0.11,0.16
2.638,0.01,0.12,0.19,0.23
2.648,0.02,0.06,0.24,0.25
2.658,0.07,0.06,0.04,0.10
2.669,0.07,-0.08,-0.05,0.12
2.679,0.10,-0.14,-0.05,0.18
2.689,0.08,-0.09,-0.01,0.12
2.699,0.05,0.04,0.05,0.08
2.709,0.05,0.09,0.01,0.11
2.719,0.04,0.13,-0.13,0.19
2.729,0.07,0.15,-0.18,0.25
2.739,0.13,0.12,-0.24,0.29
2.749,0.11,0.01,-0.19,0.22
2.759,0.04,-0.10,-0.01,0.11
2.769,0.06,-0.03,0.14,0.15
2.779,0.06,0.09,0.16,0.19
2.790,0.02,0.13,0.07,0.15
2.799,-0.02,0.16,-0.08,0.18
2.810,-0.05,0.05,-0.05,0.08
2.820,-0.02,-0.01,0.02,0.03
2.830,-0.01,-0.06,0.05,0.09
2.840,-0.00,-0.08,0.05,0.10
2.850,-0.07,-0.15,0.18,0.24
2.860,-0.05,-0.14,0.25,0.29
2.870,-0.03,-0.07,0.02,0.08
2.880,-0.07,-0.01,-0.13,0.15
2.890,-0.06,0.11,-0.17,0.21
2.900,0.04,0.17,-0.14,0.22
2.910,0.13,0.21,-0.06,0.25
2.920,0.06,0.14,0.05,0.16
2.930,-0.00,0.08,0.02,0.08
2.940,0.07,0.06,-0.04,0.10
2.950,0.11,0.05,-0.05,0.13
2.961,0.08,0.01,-0.04,0.09
2.971,0.05,0.00,0.00,0.05
2.981,-0.01,0.02,-0.01,0.02
2.991,-0.02,0.03,-0.06,0.07
3.001,0.00,0.01,-0.04,0.04
3.011,0.05,0.01,0.03,0.06
3.021,0.08,-0.03,0.03,0.09
3.031,0.05,-0.06,-0.03,0.08
3.041,0.04,-0.03,-0.08,0.09
3.051,0.00,-0.01,-0.03,0.03
3.061,-0.02,0.02,0.06,0.07
3.071,-0.02,0.06,0.13,0.14
3.081,-0.03,0.07,0.10,0.13
3.092,-0.04,0.01,0.08,0.09
3.102,-0.03,-0.02,0.00,0.04
3.112,-0.01,-0.05,-0.04,0.07
3.122,-0.02,-0.04,-0.04,0.06
3.132,-0.01,-0.03,-0.05,0.06
3.142,-0.01,-0.01,-0.05,0.05
3.152,0.01,-0.00,-0.05,0.05
3.162,0.02,-0.00,-0.03,0.04
3.172,-0.00,0.04,0.01,0.05
3.182,0.03,0.08,0.01,0.09
3.192,0.04,0.07,0.02,0.08
3.202,0.05,0.06,0.05,0.09
3.212,0.06,-0.00,0.03,0.07
3.222,0.03,-0.04,-0.01,0.05
3.232,0.01,-0.04,-0.03,0.05
3.242,0.00,-0.03,-0.02,0.04
3.253,0.02,-0.00,0.04,0.04
3.263,0.05,0.05,0.08,0.10
3.273,0.08,-0.00,0.05,0.09
3.283,0.07,-0.03,-0.02,0.08
3.293,0.02,-0.02,-0.06,0.07
3.303,0.03,-0.04,-0.10,0.11
3.313,-0.01,-0.02,-0.08,0.09
3.323,-0.02,-0.00,-0.03,0.04
3.333,-0.03,0.03,0.05,0.06
3.343,-0.02,0.03,0.08,0.09
3.353,0.00,0.02,0.06,0.06
3.363,0.01,-0.00,-0.02,0.03
3.373,0.01,-0.07,-0.07,0.10
3.383,0.02,-0.05,-0.04,0.07
3.394,-0.01,-0.00,0.01,0.01
3.404,-0.06,0.03,0.02,0.07
3.414,-0.07,0.04,-0.01,0.09
3.424,-0.04,0.02,-0.00,0.04
3.434,-0.02,-0.03,0.02,0.04
3.444,0.02,-0.06,0.03,0.07
3.454,0.00,-0.07,0.04,0.08
3.464,-0.02,-0.03,-0.02,0.04
3.474,-0.02,0.04,-0.02,0.05
3.484,-0.04,0.08,0.04,0.10
3.494,-0.01,0.08,0.06,0.10
3.504,0.01,0.08,0.04,0.10
3.514,0.03,0.09,0.02,0.10
3.524,0.06,0.05,0.01,0.08
3.535,0.02,-0.01,-0.01,0.03
3.545,0.01,-0.05,-0.01,0.05
3.555,-0.00,-0.06,-0.00,0.06
3.565,0.00,-0.03,0.00,0.03
3.575,0.02,-0.03,-0.02,0.04
3.585,0.02,-0.04,-0.05,0.07
3.595,0.00,-0.02,-0.06,0.06
3.605,0.01,-0.02,-0.07,0.07
3.615,0.03,-0.02,-0.07,0.08
3.625,0.02,-0.02,-0.05,0.05
3.635,0.01,-0.01,-0.00,0.01
3.645,-0.02,-0.02,-0.00,0.02
3.655,-0.01,-0.04,0.03,0.05
3.665,0.02,0.01,0.07,0.08
3.675,-0.04,0.02,0.08,0.09
3.686,-0.06,0.02,0.06,0.09
3.696,-0.06,0.01,-0.02,0.06
3.706,-0.00,0.01,-0.05,0.05
3.716,0.00,0.00,-0.03,0.03
3.726,0.01,-0.03,0.01,0.03
3.736,-0.03,0.01,0.03,0.05
3.746,-0.05,-0.00,0.04,0.07
3.756,-0.04,-0.01,0.04,0.06
3.766,-0.01,0.01,0.08,0.08
3.776,-0.00,0.05,0.09,0.10
3.786,-0.01,0.06,-0.00,0.06
3.796,-0.02,0.02,-0.03,0.04
3.806,0.01,-0.00,-0.02,0.02
3.816,0.01,0.01,-0.00,0.01
3.826,0.03,0.01,-0.01,0.03
3.837,-0.00,0.02,-0.01,0.02
3.847,-0.03,0.01,0.00,0.03
3.857,-0.07,0.02,0.04,0.08
3.867,-0.04,0.00,0.05,0.07
3.877,-0.00,0.01,0.04,0.04
3.887,0.01,-0.00,-0.01,0.02
3.897,0.04,-0.00,-0.08,0.09
3.907,0.06,-0.03,-0.08,0.10
3.917,0.04,0.01,-0.04,0.06
3.927,0.01,0.03,-0.05,0.06
3.937,0.01,0.02,-0.04,0.05
3.947,0.02,-0.02,0.00,0.03
3.958,0.02,-0.04,-0.03,0.05
3.968,-0.01,-0.05,-0.04,0.06
3.978,-0.00,-0.03,-0.05,0.06
3.988,-0.02,-0.02,0.01,0.03
3.998,-0.03,-0.02,0.03,0.04
4.008,-0.03,0.02,0.03,0.05
4.018,-0.04,0.04,0.03,0.07
4.028,-0.02,0.03,0.02,0.04
4.038,-0.01,0.03,0.05,0.06
4.048,-0.01,0.02,0.03,0.03
4.058,-0.02,0.01,0.03,0.04
4.068,-0.01,0.01,0.04,0.04
4.078,-0.00,0.00,0.02,0.02
4.088,-0.03,-0.01,-0.00,0.03
4.098,-0.01,0.01,-0.02,0.03
4.108,-0.00,0.03,0.03,0.04
4.119,0.02,0.03,0.03,0.04
4.129,-0.00,-0.04,-0.01,0.04
4.139,0.05,-0.05,-0.03,0.08
4.149,0.00,-0.03,-0.03,0.04
