time,ax,ay,az,atotal
1.470,0.40,-1.81,1.74,2.54
1.480,0.63,-0.61,1.39,1.64
1.490,1.03,-1.00,0.28,1.46
1.500,0.98,-0.87,0.21,1.33
1.510,0.98,-0.31,0.27,1.07
1.521,0.71,-0.10,0.72,1.01
1.531,-0.19,0.17,1.30,1.33
1.541,-0.47,0.27,1.63,1.72
1.551,-0.25,1.35,1.63,2.13
1.561,0.00,1.71,1.31,2.15
1.571,0.21,1.86,0.49,1.94
1.581,0.18,2.11,-0.52,2.19
1.591,0.16,1.96,-1.48,2.46
1.601,0.23,1.68,-2.29,2.85
1.611,0.29,1.28,-2.63,2.94
1.621,0.09,1.00,-2.49,2.68
1.631,-0.18,0.83,-1.85,2.04
1.642,-0.64,0.62,-1.11,1.42
1.652,-0.98,0.60,-0.45,1.23
1.662,-1.07,0.49,0.39,1.23
1.672,-1.11,0.26,1.09,1.58
1.682,-1.31,0.11,1.43,1.94
1.692,-1.48,0.08,1.16,1.88
1.702,-1.38,0.15,0.31,1.43
1.712,-1.16,0.35,-0.88,1.50
1.722,-1.04,0.75,-1.50,1.97
1.732,-0.89,1.32,-1.65,2.29
1.742,-0.90,2.05,-1.63,2.77
1.752,-0.62,2.75,-1.15,3.04
1.762,-0.46,3.31,-0.93,3.47
1.772,-0.15,3.74,-0.60,3.79
1.783,0.32,4.06,-0.05,4.07
1.792,0.66,4.31,0.03,4.36
1.803,1.35,4.34,-0.52,4.58
1.813,1.93,4.24,-1.16,4.80
1.823,2.81,2.24,-0.87,3.70
1.833,1.82,-2.80,-0.36,3.36
1.843,0.50,-8.08,-0.36,8.10
1.853,1.13,-12.62,-1.40,12.75
1.863,0.76,-15.35,-1.63,15.46
1.873,-0.92,-16.56,-1.28,16.64
1.883,-2.57,-14.77,-0.67,15.00
1.893,-1.47,-8.90,-0.46,9.03
1.903,0.92,-2.80,-1.38,3.26
1.913,1.47,0.01,-3.15,3.47
1.924,1.64,1.61,-4.35,4.92
1.934,1.35,1.33,-4.70,5.06
1.944,0.50,-0.78,-4.70,4.79
1.954,-0.02,-1.86,-4.02,4.43
1.964,-0.23,-1.89,-2.64,3.25
1.974,-0.83,-2.00,-1.25,2.50
1.984,-1.70,-2.20,-0.44,2.82
1.994,-2.12,-2.12,-0.36,3.02
2.004,-2.14,-1.85,-0.94,2.98
2.014,-1.76,-1.60,-2.91,3.76
2.024,-1.00,-1.60,-4.91,5.26
2.034,-0.65,-1.61,-4.49,4.82
2.044,-0.77,-1.59,-2.89,3.39
2.054,-1.18,-1.49,-0.94,2.12
2.065,-1.53,-1.10,2.18,2.88
2.075,-0.28,-0.96,4.85,4.95
2.085,0.59,-0.68,5.56,5.64
2.095,1.35,-0.23,5.20,5.38
2.105,1.85,-0.10,4.92,5.26
2.115,1.37,-0.74,3.99,4.28
2.125,0.41,-1.65,2.46,2.99
2.135,0.21,-2.35,0.58,2.43
2.145,0.99,-2.80,-1.57,3.36
2.155,1.41,-3.46,-2.94,4.76
2.165,1.49,-3.72,-3.03,5.03
2.175,1.34,-3.78,-2.29,4.62
2.185,0.92,-3.75,-1.28,4.06
2.195,0.08,-3.36,-0.42,3.39
2.205,-1.05,-2.19,0.12,2.43
2.215,-1.72,-1.15,0.77,2.20
2.226,-1.89,-0.50,1.53,2.49
2.236,-2.13,0.08,2.22,3.08
2.246,-2.41,0.49,2.67,3.63
2.256,-2.58,0.90,2.69,3.83
2.266,-2.60,1.26,2.47,3.80
2.276,-2.42,1.42,2.30,3.62
2.286,-2.02,1.63,2.15,3.37
2.296,-1.82,1.84,2.09,3.33
2.306,-1.58,1.83,2.13,3.22
2.316,-1.08,1.74,2.26,3.05
2.326,-0.70,1.77,2.27,2.96
2.336,-0.40,1.89,2.31,3.01
2.347,-0.18,1.89,2.47,3.12
2.357,-0.09,1.78,2.67,3.21
2.367,-0.07,1.74,2.52,3.07
2.377,0.05,1.84,2.38,3.01
2.387,0.11,1.92,2.37,3.06
2.397,0.29,1.96,2.27,3.01
2.407,0.59,1.95,2.00,2.86
2.417,0.76,1.89,1.81,2.73
2.427,0.70,1.93,1.67,2.64
2.437,0.57,2.08,1.68,2.73
2.447,0.38,2.31,1.91,3.02
2.457,0.28,2.60,2.12,3.36
2.467,0.38,2.80,2.07,3.50
2.477,0.44,3.11,1.92,3.68
2.487,0.42,3.58,1.49,3.90
2.497,0.36,3.79,1.26,4.01
2.508,0.20,3.75,1.19,3.94
2.517,-0.06,3.46,1.03,3.61
2.528,-0.30,2.90,0.76,3.01
2.538,-0.50,2.17,0.62,2.31
2.548,-0.60,1.49,0.63,1.73
2.558,-0.68,0.90,0.62,1.29
2.568,-0.62,0.33,0.18,0.73
2.578,-0.03,-0.44,-2.70,2.73
2.588,1.34,-1.92,-10.19,10.45
2.598,2.21,-4.71,-14.56,15.47
2.608,1.19,-8.34,-10.73,13.64
2.618,-0.44,-9.95,-4.15,10.78
2.628,-2.00,-7.72,4.65,9.24
2.638,-2.64,-3.51,8.43,9.51
2.649,-2.31,1.07,4.60,5.25
2.659,-1.91,4.08,-1.68,4.81
2.669,-1.09,5.11,-2.43,5.77
2.679,-0.62,5.00,1.64,5.30
2.689,-3.46,4.09,2.59,5.95
2.699,-4.84,2.39,0.14,5.40
2.709,-3.74,-0.67,-0.41,3.82
2.719,-2.31,-3.32,2.22,4.62
2.729,-1.07,-5.10,3.92,6.52
2.739,-0.13,-6.30,3.14,7.04
2.749,-0.01,-6.33,1.93,6.61
2.759,-0.04,-5.76,0.67,5.80
2.769,-0.00,-4.03,-0.20,4.03
2.779,-0.03,-1.54,0.36,1.58
2.790,-0.30,0.18,1.40,1.44
2.800,-0.37,0.88,1.66,1.91
2.810,-0.14,1.03,1.50,1.83
2.820,0.11,0.70,1.16,1.36
2.830,-0.00,-0.03,0.79,0.79
2.840,-0.21,-0.70,0.47,0.87
2.850,-0.45,-0.91,0.33,1.07
2.860,-0.25,-1.01,0.28,1.07
2.870,-0.12,-0.62,0.38,0.74
2.880,-0.13,-0.24,0.41,0.49
2.890,-0.00,-0.02,0.44,0.44
2.900,-0.05,0.08,0.52,0.53
2.910,-0.15,0.19,0.44,0.50
2.920,-0.22,0.45,0.14,0.51
2.930,-0.21,0.67,-0.17,0.72
2.941,-0.14,0.90,-0.12,0.92
2.951,-0.00,1.06,-0.03,1.06
2.961,0.02,1.27,-0.02,1.27
2.971,-0.05,1.43,0.04,1.43
2.981,-0.13,1.41,0.06,1.42
2.991,-0.06,1.23,-0.04,1.24
3.001,0.21,0.92,-0.30,0.99
3.011,0.81,0.60,-0.46,1.10
3.021,1.35,0.26,-0.62,1.51
3.031,1.63,-0.00,-0.80,1.81
3.041,1.81,-0.11,-0.73,1.96
3.052,2.15,-0.30,-0.60,2.25
3.061,2.17,-0.28,-0.53,2.25
3.072,1.88,-0.27,-0.41,1.94
3.081,1.43,-0.27,-0.20,1.47
3.092,1.05,-0.20,-0.04,1.07
3.102,0.58,-0.07,0.00,0.59
3.112,0.18,0.11,-0.01,0.21
3.122,0.03,0.33,-0.02,0.33
3.132,-0.14,0.56,-0.08,0.58
3.142,-0.27,0.71,-0.13,0.77
3.152,-0.33,0.77,-0.07,0.84
3.162,-0.32,0.77,-0.03,0.84
3.172,-0.32,0.74,0.03,0.80
3.182,-0.35,0.64,0.03,0.73
3.192,-0.39,0.51,0.01,0.64
3.202,-0.39,0.40,-0.01,0.56
3.213,-0.35,0.26,-0.07,0.44
3.223,-0.27,0.15,-0.14,0.34
3.233,-0.11,0.04,-0.16,0.20
3.243,0.06,0.05,-0.19,0.21
