time,ax,ay,az,atotal
1.490,-0.73,0.41,-0.72,1.11
1.500,-1.04,-0.37,-0.39,1.17
1.511,-1.22,-1.01,0.14,1.59
1.521,-1.40,-1.06,0.47,1.82
1.531,-1.09,-1.11,0.42,1.61
1.541,-0.55,-1.12,0.21,1.26
1.551,0.11,-0.70,0.12,0.72
1.561,0.51,-0.01,0.28,0.59
1.571,0.37,0.68,0.46,0.90
1.581,-0.55,1.12,0.40,1.31
1.591,-1.78,1.37,0.22,2.25
1.601,-2.69,1.50,0.49,3.12
1.611,-3.43,2.36,0.61,4.21
1.621,-4.04,3.31,0.57,5.25
1.631,-3.82,3.37,0.98,5.18
1.641,-2.74,3.67,1.72,4.90
1.652,-2.02,3.28,2.04,4.36
1.662,-0.48,3.67,1.73,4.09
1.672,-1.07,2.39,1.93,3.26
1.682,-3.03,0.86,2.17,3.82
1.692,-4.26,0.50,1.94,4.71
1.702,-3.99,0.58,1.57,4.33
1.712,-3.70,-0.68,0.95,3.88
1.722,-3.56,-1.82,-0.59,4.05
1.732,-3.28,-2.83,-2.95,5.24
1.742,-3.32,-3.65,-3.50,6.05
1.752,-3.29,-3.96,-1.51,5.37
1.762,-2.26,-2.69,1.53,3.83
1.772,-1.25,-0.32,1.72,2.15
1.782,-0.82,-0.24,-0.43,0.96
1.792,-1.01,-1.76,-2.43,3.16
1.803,-1.34,-3.19,-3.20,4.71
1.813,-1.06,-3.84,-2.68,4.80
1.823,-0.99,-2.63,-1.46,3.17
1.833,-1.42,-0.89,-0.24,1.70
1.843,-0.09,-2.33,-0.22,2.34
1.853,0.77,-4.00,-0.51,4.10
1.863,1.45,-5.29,-0.16,5.49
1.873,2.23,-5.86,0.08,6.27
1.883,2.29,-2.41,0.48,3.36
1.893,0.92,4.39,0.47,4.51
1.903,2.72,-0.11,-1.53,3.12
1.913,4.01,-3.02,-2.82,5.76
1.923,3.90,0.36,-2.55,4.67
1.933,3.36,0.27,-2.27,4.07
1.944,2.51,-0.97,-1.87,3.28
1.954,1.32,-1.64,-1.36,2.51
1.964,0.37,-2.15,-0.81,2.32
1.974,-0.11,-1.71,-0.02,1.71
1.984,-0.50,-0.77,0.71,1.16
1.994,-1.04,0.24,1.04,1.49
