time,ax,ay,az,atotal
1.480,-0.99,0.97,1.46,2.01
1.490,-0.73,0.89,0.89,1.46
1.501,-0.01,1.61,0.16,1.62
1.511,0.59,2.89,-0.55,3.00
1.521,1.00,3.72,-1.34,4.08
1.531,1.36,2.45,-1.69,3.27
1.541,2.04,1.91,-1.46,3.16
1.551,2.61,0.97,-1.06,2.98
1.561,2.71,-0.78,-0.92,2.97
1.571,2.21,-2.44,-0.50,3.33
1.581,1.92,-4.53,-1.12,5.05
1.591,1.95,-5.96,-2.09,6.61
1.601,1.43,-3.80,-1.30,4.26
1.611,-0.01,-0.36,-0.64,0.73
1.621,-0.40,0.27,-0.43,0.65
1.632,-1.21,-0.18,-0.39,1.29
1.642,-1.83,0.17,0.24,1.85
1.652,-1.56,0.53,0.92,1.88
1.662,-0.79,0.42,1.09,1.42
1.672,-0.38,0.06,1.30,1.35
1.682,0.61,-0.40,1.72,1.87
1.692,1.26,-0.47,1.85,2.29
1.702,0.91,-0.02,1.25,1.55
1.712,0.25,0.59,0.52,0.82
1.722,-0.64,0.23,0.00,0.68
1.732,-0.60,0.06,-0.42,0.74
1.742,-0.04,-0.29,-0.51,0.58
1.752,0.53,-0.34,-0.54,0.83
1.762,-0.50,0.54,-0.60,0.95
1.773,-0.48,1.17,-0.55,1.38
1.783,-0.43,0.98,-0.55,1.20
1.793,-0.41,0.48,-0.63,0.89
1.803,-0.49,-0.08,-0.66,0.83
1.813,-0.76,-0.46,-0.35,0.95
1.823,-0.34,0.28,-0.02,0.44
1.833,-1.07,1.87,-0.01,2.15
1.843,-1.82,3.33,0.01,3.80
1.853,-1.68,4.56,0.08,4.86
1.863,-1.88,4.96,0.35,5.32
1.873,-2.03,5.57,0.73,5.97
1.883,-2.12,5.24,1.03,5.74
1.893,-2.03,3.10,0.94,3.82
1.903,-1.94,-0.06,0.69,2.06
1.914,-2.02,-2.37,0.33,3.13
1.923,-1.94,-3.03,-0.08,3.60
1.934,-1.45,-2.70,-0.04,3.06
1.944,-0.73,-1.50,-0.24,1.69
1.954,0.15,0.43,-0.82,0.94
1.964,0.96,2.11,-1.10,2.57
1.974,1.52,2.43,-1.36,3.17
1.984,1.72,1.47,-1.17,2.54
1.994,1.51,0.66,0.05,1.65
2.004,0.62,-0.37,0.46,0.86
2.014,-0.07,-1.51,0.47,1.58
2.024,0.01,-2.62,-0.04,2.62
2.034,0.96,-3.09,-0.55,3.29
2.044,1.35,-3.94,-1.25,4.35
2.054,1.93,-2.94,-1.71,3.91
2.064,2.23,-1.16,-1.81,3.09
2.075,2.06,-0.04,-1.54,2.57
2.085,2.04,0.12,-1.06,2.30
2.095,1.28,0.92,-0.28,1.60
2.105,1.55,0.27,-0.16,1.58
2.115,1.95,0.21,-0.47,2.01
2.125,1.98,-0.57,-0.86,2.23
2.135,1.70,-1.70,-1.38,2.77
2.145,2.51,-3.05,-1.97,4.42
2.155,2.05,-1.80,-2.10,3.44
2.165,1.21,-0.76,-1.76,2.27
2.175,0.41,-0.64,-0.96,1.23
2.185,-0.02,-0.94,-0.40,1.02
2.196,-0.99,-1.97,-0.33,2.23
2.206,-1.91,-3.00,-0.97,3.68
2.216,-2.43,-3.32,-1.57,4.41
2.226,-2.58,-3.50,-1.75,4.69
2.236,-2.19,-2.92,-1.92,4.12
2.246,-2.11,-1.80,-2.19,3.54
2.256,-1.97,-1.45,-2.30,3.36
2.266,-1.57,-1.91,-2.20,3.32
2.276,-1.28,-2.11,-1.83,3.08
2.286,-1.40,-1.65,-1.11,2.43
2.296,-1.60,-1.25,0.18,2.04
2.306,-1.62,-1.13,1.28,2.36
2.316,-1.37,-0.67,2.03,2.54
2.326,-1.15,-0.08,2.53,2.78
2.336,-0.85,0.33,2.73,2.88
2.347,-0.48,0.53,2.41,2.51
2.357,0.03,0.42,1.73,1.78
2.367,0.58,0.23,1.07,1.24
2.377,1.08,0.33,0.54,1.25
2.387,1.45,0.69,0.18,1.61
2.397,1.68,1.26,-0.05,2.11
2.407,1.74,1.48,-0.06,2.28
2.417,1.32,1.54,0.46,2.08
2.427,0.45,1.63,1.37,2.17
2.437,-0.28,1.40,2.37,2.77
2.447,-0.64,1.39,3.09,3.45
2.457,-0.61,1.55,3.30,3.70
2.467,-0.35,1.60,2.98,3.40
2.478,-0.32,1.43,2.16,2.61
2.488,-0.49,1.10,1.37,1.82
2.498,0.48,0.58,0.88,1.16
2.508,1.32,0.83,0.86,1.78
2.518,1.73,1.23,0.63,2.22
2.528,1.12,1.46,0.30,1.86
2.538,0.54,1.22,0.19,1.35
2.548,2.09,0.46,0.70,2.25
2.558,2.44,0.93,1.45,2.98
2.568,2.00,1.02,1.94,2.97
2.578,1.68,1.56,2.10,3.11
2.588,0.85,1.99,1.84,2.84
2.598,0.03,1.68,1.26,2.10
2.608,-0.42,1.32,0.67,1.54
2.618,-0.75,1.40,0.24,1.61
2.629,-1.30,1.86,0.00,2.27
2.639,-1.41,2.22,0.00,2.63
2.649,-1.18,2.71,-0.24,2.97
2.659,-0.86,2.78,-0.97,3.07
2.669,-0.43,2.23,-2.00,3.03
2.679,0.13,1.31,-2.81,3.11
2.689,0.92,0.72,-3.37,3.57
2.699,1.55,0.21,-3.55,3.88
2.709,1.79,-0.21,-3.59,4.02
2.719,1.65,-0.37,-3.49,3.88
2.729,1.31,0.07,-3.11,3.37
2.739,0.84,0.28,-2.49,2.64
2.749,0.48,0.99,-1.78,2.09
2.759,-0.10,1.33,-1.23,1.81
2.769,-0.90,1.07,-0.82,1.62
2.779,-1.60,1.01,-0.46,1.95
2.790,-1.84,1.40,-0.10,2.31
2.800,-2.01,1.65,0.20,2.61
2.810,-2.11,1.84,0.57,2.86
2.820,-1.98,2.00,0.79,2.93
2.830,-1.70,1.94,0.79,2.70
2.840,-1.25,1.77,0.58,2.24
2.850,-0.64,1.56,0.41,1.74
2.860,-0.06,1.28,0.31,1.32
2.870,0.34,1.07,0.28,1.15
2.880,0.56,0.94,0.23,1.11
2.890,0.70,1.00,0.12,1.23
2.900,0.82,1.24,-0.04,1.49
2.910,0.77,1.48,-0.25,1.69
2.921,0.47,1.65,-0.40,1.76
2.931,0.10,1.47,-0.63,1.60
2.941,-0.06,0.67,-1.33,1.49
2.951,-0.24,-0.97,-2.50,2.69
2.961,-0.40,-3.00,-3.65,4.74
2.971,-0.25,-4.89,-4.10,6.39
2.981,0.25,-6.04,-3.98,7.23
2.991,0.63,-6.54,-3.78,7.58
3.001,0.42,-6.42,-3.34,7.25
3.011,-0.57,-5.64,-2.99,6.40
3.021,-2.14,-4.30,-3.12,5.73
3.031,-2.91,-2.14,-3.01,4.70
3.041,-2.62,-0.40,-1.35,2.98
3.051,-1.90,0.85,0.86,2.25
3.062,-0.91,1.39,1.99,2.59
3.072,0.34,1.42,2.22,2.66
3.082,1.83,1.07,2.36,3.17
3.092,3.46,0.29,2.94,4.55
3.102,4.51,-1.69,3.85,6.17
3.112,4.91,-3.71,4.74,7.77
3.122,4.56,-4.12,5.10,7.98
3.132,3.77,-2.66,4.50,6.45
3.142,2.69,-0.81,3.43,4.44
3.152,1.57,0.23,2.59,3.04
3.162,0.12,0.83,2.20,2.36
3.172,-1.41,1.04,2.00,2.66
3.183,-2.63,1.07,1.87,3.40
3.192,-3.20,0.72,1.68,3.69
3.203,-3.17,-0.01,1.45,3.48
3.212,-2.64,-0.81,1.20,3.01
3.223,-1.77,-1.56,0.78,2.49
3.233,-0.43,-1.78,-0.10,1.83
3.243,0.97,-1.48,-1.37,2.23
3.253,1.88,-0.85,-2.60,3.32
3.263,2.26,-0.15,-3.17,3.90
3.273,1.91,0.34,-2.99,3.57
3.283,1.14,0.56,-2.22,2.55
3.293,0.36,0.38,-1.43,1.52
3.303,-0.25,0.03,-0.72,0.76
3.313,-0.39,-0.18,-0.23,0.49
3.323,-0.29,-0.08,-0.22,0.38
3.333,-0.57,0.31,-0.20,0.68
3.344,-0.76,1.02,-0.01,1.28
3.354,-0.69,1.68,-0.10,1.82
3.364,-0.31,2.13,-0.45,2.19
3.374,-0.22,2.35,-0.87,2.51
3.384,0.00,2.21,-1.23,2.53
3.394,0.32,1.81,-1.56,2.41
3.404,0.62,1.33,-1.74,2.28
3.414,0.86,0.89,-1.42,1.89
